year,month,day_num,day_week,there_total_time,there_start_time,there_end_time,there_temp,there_real_feel,there_dew_point,there_air_quality,uv_there,there_weather,back_total_time,back_start_time,back_end_time,back_temp,back_real_feel,back_dew_point,back_air_quality,uv_back,back_weather,hours_sleep,physical_condition,mental_condition,incident?
2022,9,15,Thursday,23,8.32,8.55,59,DNR,DNR,DNR,DNR,sunny,24,5.09,5.33,79,DNR,DNR,DNR,DNR,sunny,9.47,5,6,n
2022,9,16,Friday,23.16,8.12,8.35,63,DNR,DNR,DNR,DNR,sunny,15.52,5.02,5.17,84,DNR,DNR,DNR,DNR,sunny,8.52,6,7,n
2022,9,19,Monday,22.53,8.03,8.26,66,DNR,DNR,DNR,DNR,sunny,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,DNR,8.53,8,8,n
2022,9,20,Tuesday,21.53,8.39,9.01,70,DNR,DNR,DNR,DNR,sunny,18.45,4.46,5.04,90,DNR,DNR,DNR,DNR,mostly sunny,9.26,8,8,n
2022,9,21,Wednesday,23.39,8.26,8.49,67,DNR,DNR,DNR,DNR,sunny,17.13,4.45,5.02,90,DNR,DNR,DNR,DNR,sunny,8.13,7,7,n
2022,9,22,Thursday,22.11,8.33,8.54,70,70,64,56,DNR,mostly sunny,18.13,5.05,5.23,83,86,67,43,DNR,sunny,8.05,6,7,n
2022,9,23,Friday,22.2,8.11,8.33,56,55,42,39,DNR,sunny,18.25,12.37,12.55,71,71,36,23,DNR,sunny,8,6,6,n
2022,9,26,Monday,25.03,9.4,9.15,82,84,62,47,DNR,sunny,21.11,4.44,5.05,79,79,46,31,DNR,sunny,7.43,4,6,n
2022,9,27,Tuesday,24.39,7.43,8.07,51,51,38,48,DNR,mostly sunny,Forgot,Forgot,Forgot,Forgot,Forgot,Forgot,Forgot,DNR,Forgot,8.11,4,7,n
2022,10,3,Monday,26.32,8.34,8.08,53,50,50,37,DNR,cloudy,20.34,4.45,5.05,62,61,44,18,DNR,mostly cloudy,8.22,8,8,n
2022,10,4,Tuesday,23.53,8.36,8,47,47,42,27,DNR,mostly sunny,19,4.39,4.58,68,67,40,34,DNR,mostly cloudy,8.05,8,7,n
2022,10,5,Wednesday,21.34,8.34,8.45,49,49,43,42,DNR,sunny,19.15,4.46,5.05,74,74,52,27,DNR,sunny,9.21,8,7,n
2022,10,6,Thursday,22.13,8.46,8.58,54,54,54,51,DNR,sunny,19.18,4.46,5.06,79,80,53,27,DNR,mostly sunny,9.26,7,7,n
2022,10,10,Monday,24.04,7.42,8.03,53,53,48,63,DNR,mostly cloudy,19.22,4.14,4.33,72,72,45,24,DNR,mostly sunny,7.59,7,8,n
2022,10,11,Tuesday,23.11,7.41,8.04,43,43,41,55,DNR,sunny,19.56,4.25,4.45,73,73,40,24,DNR,sunny,7.3,9,8,n
2022,10,12,Wednesday,23.24,8.21,8.44,55,55,52,56,DNR,mostly cloudy,18.59,4.26,4.45,72,73,55,40,DNR,cloudy,8.59,6,6,n
2022,10,14,Friday,23,8.4,9.03,60,59,47,46,DNR,sunny,18.18,4.28,4.45,72,72,36,25,DNR,sunny,9,8,9,n
2022,10,17,Monday,20.53,8.43,9.03,61,61,60,52,DNR,mostly cloudy,19.22,4.46,5.05,72,72,59,51,DNR,partly cloudy,8.59,7,7,n
2022,10,18,Tuesday,23.24,9.03,9.26,46,41,28,39,DNR,sunny,19.16,4.45,5.04,57,54,38,30,DNR,sunny,9.12,5,6,n
2022,10,19,Wednesday,21.5,9.16,9.38,38,38,32,41,DNR,sunny,19.08,4.45,5.04,58,57,31,21,DNR,partly cloudy,9.41,5,5,n
2022,10,20,Thursday,22.08,9.52,10.14,50,50,36,43,DNR,sunny,19.06,5.26,5.45,61,61,34,27,DNR,sunny,10.19,5,6,n
2022,10,21,Friday,22.33,9.51,10.13,50,50,39,55,DNR,sunny,Forgot,Forgot,Forgot,Forgot,Forgot,Forgot,Forgot,DNR,Forgot,9.31,5,7,n
